,0
0,Good job sir
1,Hamro nepal k xa vanda kheri kag le kan lagyo re vanda kag ko paxi lagne dherai xan.. Yo kura sochnu jaruri xa hachuwa ko var ma euta thulo manxe le J vanyo tesko paxi lagne.. Hamro nepal yehi vayera bigreko ho rabi Sir yesto galat batoko anty garnu parxa hajur lai hami ubako sadai sahayog xa tapailai jay nepal
2,"How to support the kid suffering from "" Thalassemia""? Where should I contact the person?"
3,News 24 ko toll free number kati xa sir
4,Desh ko lagi desh bhakti pan dekhaune bela aba aaisakyo .pritvi narayan shah le ekikaran gareka jamin bhu bhaag khai ta .sab bharat le hadpi sake sugauli sandhi ma gumeko jamin khai ta nepali le paako .aaja euta greater nepal hunthiyo vane nepal le dherai bikash garna safal hune thiyo .nepal ekikaran garne bela aba aaisakyo sugauli sandhi ko jamin adhikar le paako kura paauna paryo .janta ko mudda liyera rabi g le dherai focus garnu vo ra nayaie dilaunu vo ra aba desh kai lagi mudda utheko kura ma rabi g le action lina parxa sugauli sandhi ko mudda laai agadi badhauna paryo ni .yo sarkar ko matra haina ki 3 crore nepal kai lagi thulo kura ho .haamro 60 hajar barga gumeko jamin kasle phirta dilaune .nepal sarkar kaan ma tel lagayera basi rakheko xa .sarkar laai nepal nai na chaiyeko raixa ra janta ko bhalai chahiyeko rainaxa .yo kura episode marfat sarkar samakxa puryaunu pani jaruri xa ani boleko kura english subtitle pani rakhna jaruri xa jasto mahsus vayo ali kati
5,auta licance banauna ko lagi 50000 linxa b catgory ko lagi matra yesle guss nakhako vaye kosle khayo ta
6,police ni kaha sajan xara police ni mili halxa
7,Mlai pni ati dukh lageko thiyo jun din m 9 ghanta line bser tokn linae lagda achank mero agadi kei kta kt aayr hamlai flanale pthako vbda dherae nramro lageko thiyo🤔
8,Rain sir
9,Saudi arbiy bat hear dae6u
10,Rain sir nepali me nepali Saudi Arabi fatting I'm note a hote a head..
11,lakhan thapa magarko barema pani khi boldinu paryo rabi sir jo nepalko pahilo sahid thiyo
12,Great job 💪👍👍👍👍
13,Hamro nepal kahele sodenewal xain rabi sir
14,rabi sir iz goooood😚😚
15,"रास्ट्रपति वा प्रधानमन्त्री भनेका देशका आमाबाबा जस्तै हुन तर हाम्रो देशका यिनिहरु पशुहरु जस्तै लाग्छ। खै जिम्मेवार भको ? गरीब, असायहरुको कुनै प्राथमिकता हुन्छ कि हुदैन? के सहयोगको लागि सधै रबि सरको program मै सम्पर्क गर्नुपर्ने कस्तो खालको यो सरकार? थुक्का सालाहरु, खातेहरु  तिमीहरूको mind मा 18 करोडको गाडी, 1.5 अरब को हेलिकप्टर अनि 6 अरबको भ्रष्टाचार आदि को मात्रै ख्याल आउछ भने 3-4 करोड सराप लागुन। जति ठगेर, भ्रष्टाचार गरेर, जति जे गरेर पैसा कमाए पनि मर्ने बेलामा 1सिक्का सम्पती कसैले लान सक्दैन। धिलो चाडो सबैलाई मर्नुपर्छ यार बाचुन्जेल राम्रो काम गर्न सिक।"
16,Good job Ravi sir
17,जनजाति कसरी पिछडिएको हो अनि हाम्रो  भाषाभुसा कसरी लोप भयो रबि हजूर????
18,http://dailygreatest.com/mpublic.php?uid=215653139
19,"bichara maya lagera aayo yatayat karyalayako parmukh lai, jawaff dinai naskne ho ki bolnai na aako ho ki"
20,sunna pani laaj lagyo haha aakha daan garnu bhayo re lol kati hasnu hau
21,Eniharu lai xito kharej gar nalayak sarkar rabi sir salam ahile alu ko chasma lagayar baseko ahile thaha vayo re hamro desha ka karmachari haru sana dekhi thula samma san x yuba jati bideshma toilet safa garne eniharule nepalmai eniharuka 10 pustalai pugne kamai sak ka xn eni harulai 5 mahina ko talab katauti garnu paryo rabi sir
22,Thuknelai jiudai thukuwa sahid ghsana  garne vari yata hajie hum ta
23,"Jay Prithvi Jayanti 
Jay Ekata Diwas"
24,Great king PN Shah was the founder of Nepal. There is no doubt. These 601 idiots are good for nothing. These foxes must be punished.
25,Rabi sir 💕
26,rabi sirko number paye hunthyo
27,Ravi sir yo manche daru khayarw bole ko xa yasto manche pani karalaya pramukh hunchan Thukka bejeti Hakim... Yo ghush khane sikaune leader nai yahe chor Hakim ho.....
28,kasto laaj lagdo answer karyalaya parmukh ko ??? hahahaaaa nasake jagir xadidiye bhaigo ni.
29,यी कर्मचारी ले देश लाई डुबाए
30,Yess
31,तेरो औकातले नसक्ने भय राजिनामा दिय हुन्छ जोस जाँगर अनि ग्यान भयका युवा हजार छन देशमा
32,डाँका प्रमुख हाँसछस नसक्ने भय राजिनामा दियर भागे हुन्छ मास हेर्न पर्दैन आफ्नो कर्मचारी ले गल्ती गर्ने बितिकै कार्बाही गर्यो भनेत आफै कम हुन्छनी थुक्क बेइमानि आँखा अहिले सम्म बन्द थियोत
33,💖RABI 💖
34,Jay Nepal
35,Yedi karmachaari lai karyalaye pramukh le nigraani garera ramro sanga kaam gare vane ta sewagraahi jati dherai vaye pani k farak parxa ra?
36,Xamatanai navayako manxelai kina rakheko sarkarle barkhasta gare hunx
37,सलाम रवी सर यस्ता कार्लय समाल्न नसक्ने हाकिम लाई लात हानेर निकाल्नुपर्छ
38,nepali sena sahi xa..harek barek ra harek office ma prithvinarayan shah ko foto rakhnu parxa.
39,hamilaai biswash xa ..hami nepali harule  le ekdin  abshy rabi lamichhane sir nepal sarakaar  ko karyakari pramukh bhayara desh sundar janata sukhi ra saksham bhayako dekhna paune xau.
40,Conv with that yatayaat pramukh cringe level 10000😀😁😂
41,Jhol khayeni xa yo surendre le
42,यातायात प्रमुख ज्यु सक्नु हुन्न भन्ने तुरुन्त राजिनामा दिनुहोस...
43,सिधा कुरा जनता संग मा इमेल को ब्याबस्था छ कि छैन??? जानकारी पाउ न
44,Salam x rabi sir
45,म पनि बिहिबार ११ बजे ठुलो भर्र्याङ् यातायात कार्यलय पुगेको थिए टोकन लिने समय सकियो आइतबार आउनु भनेर फर्काइदिए कुरा यस्तो रैछ ।।
46,कर्मचारी ले नै देश सकेको हो
47,Good job dada
48,sahi kura prithibi narayan shah hamro yaileko rastra nirmata hun.
49,Please do some reporting for this case.          https://www.facebook.com/dailynepalnews247/videos/291819604870778/
