,0
0,Yasta धोती लाई India तीर भगाउन parxa
1,Help garni yuva haru lai salam xa
2,Hepl garni yova haru lai salute xa
3,Tyo ghar beti manav hoina pichass ho ko vijj ho
4,Ravi sir hjr boli rw bamduk ko ho
5,Hoina rabi dai tranding ma kina pardaina
6,salam  cha rabi  sir
7,salam x rabi sir lai
8,solut rabi  sir
9,Greater nepal le sugauli sandhi bare utako mudda ma kina sarkar chup chan ani rabi g ko foundation le kina yesko partirodh gardaina .kina rabi g le euta singo desh ko mudda ma focus garnu hudaina yo television pardaina ta .desh ko maya nai na bhayeko sarkar kina haath ma chura ra sari lagayera chuppa basi rako xa ta kina india birudha aafule  gumayeko jamin ko bare action lina asharta chan ta .12 ota singapur banne jamin gumauda pani sarkar ko kunai pahal chaina ajhai .sugauli sandhi ma gumeko jamin euta greater nepal ko nirmaan ho euta greater nepal nirmaan le euta raamro ra thulo bhabisya bokeko xa .rabi g ko karodau fans laai yo television marfat sugauli sandhi ko mudda barema augat garaunu jaruri xa .rabi g euta rastar premi byakti le aafno rastro ko maag desh ko brihat  nirmaan sugauli sandhi ko mudda laai agadi badhaunu hola .
10,Tyo ghar beti lai ni arya ghat puraunu parne kasto nirdayi
11,Rabi sir harek boli le mero mutu chue chue hunxa yeti sacho kura haru garnu hunxa satya kura garnu salam xa rabi sir
12,जय नेपाल रबि सर सलाम छ हजुर लाई
13,100% true rabi dai..
14,Sir tapai kahile change no hunu la hamesa yestai rahanu🙏
15,I want to help this old man and a woman . Whom shall I contact for that Ravi sir ?
16,Bhaktapur malpot ma pani string  operation garnu paryo ekdam dukha dinchan paisa bina dek chaldainan karmachari
17,Jay Nepal  Dada rabi hajura ko jaya  hosh
18,thik
19,Rabi sir hjr lai kun sabda le bardan garnu  yesto manxe lai po sayog magnu ta Tara ahile duihaat dui khutta vako vustigre haruko lagi Pani sayog magne haru xan rapo ta!! So rabi sir salam xa hjr lai
20,Dhanyabad sahayogi sathiharu.
21,रबि सर नेपाली लोकदोहोरी गायिका बिष्णु माझी को बिषयमा पनि अनुसन्धान गर्नुहोला है
22,कसैलाईसहयाेग गर्न सके गराै नसके दुख पनि नदिउ सबैमा चेतना भया।
23,Ti yubaharu lae hamro ni salam
24,Manabta nabhayeko manchhe rachha ti gharbeti
25,Ravi Lamichhane sir KO fine I with ravi sir
26,"simply adored the way Rabiji speaks 
awesomeness rabiji 
Glory to you"
27,"100%great  yo karekrm,"
28,"हाम्रो लुटेरा नेताहरुले प्रत्यक्ष कार्यकारी राष्ट्रपति या प्रधानमन्त्री चुन्ने व्यवस्था नगरेर जनताले मन नपराउने तिनै भ्रष्ट हरुलाइ राष्ट्रपती प्रधानमन्त्री मान्न परिरहेको छ। उनिहरुलाइ थाहा छ कि उनिहरुको कर्तुत यतिबिघ्न छ कि प्रत्यक्ष चुनाव भए उनिहरु रास्ट्रपति प्रधानमन्त्री हुनै सक्दैन।  

यदि प्रत्यक्ष चुनाव हुने हो भने रवि लामिछाने पक्कै जित्छन। पार्टी खोलेर चुनाव मा आए रविले जित्ला, पार्टी को अरु सिट आउदैन । त्यसरी प्रधानमन्त्री हुन असम्भव छ। राजतन्त्र भएको भए अर्कै कुरो, तर गडबडतन्त्रमा प्रत्यक्ष प्रधानमन्त्री चुनाव नभए रवि प्रधानमन्त्री हुनै सक्दैन। गनतन्त्रमा प्रधानमन्त्री त तिनै कुहिएको नेताहरुबाटै त हुने हो"
29,I lavu u sar
30,Rabi dai jindabad
31,Wow ravi sir
32,Oda adachai ko hola sir 100%
33,नेपाल आमाको एक मात्र सपूत हो रबि लामिछानेको news को टिम।।। भगवान यो टिमको सदैब सहयोग गर्नु होला
34,Elections ma abo Rabi dai uthyo vaney sure jitxa Nepali public hajur sangaxa yadi possible vayo vaney plz do it dai
35,rabi dai mero vagwan
36,ta dhoti chor fataha  jhutobolxas    gauko  waada  adhashy vayer pani  .
37,"There were times when we watched a politics-genre-movie and were taken aback knowing how much we wanted the true-fictional-patriot in our real life...

well,

HERE IS THE ONE.. 
IN REAL LIFE...
AND...  
WE - MOST STUPID PEOPLE ALIVE..
YES WE!!!! 
WE ARE GIVING NO DAMN ABOUT HIM! 
FUCK US!! 
FUCK NEPAL!! 
LONG LIVE RAVI LAMICHANE!

FUCK those who say they wanna see him be the next prime minister..
do you even have a common sense.. how can you just say it.. and do nothing... 

थुइक्क लाजमर्दा देशका मगजहिन लोभिहरुहो, यदि तिमिहरु एस्ता भगवानका अघि एस्ता हेर्दा मात्र मिठा कुरा गर्ने हो भने जा! जा गएर हामफाल् तँ पनि यो देशको घिनलाग्दो राजनितिमा। 
थुइक्क!!!

You have no fucking right to judge him.. you should all be ashamed...
how can you just say things... 

if you wanna see nepal be nepal, then don't just say things! Ask yourself - can you leave the most closest person to you on behalf of nepal being great.. ? 

You fucking can't, so just shut the fuck up motherfuckers!"
38,Yo manchhenai badamash ho
39,Touchy
40,हजुर जस्तो मान्छे यो संसार मा नै छ्रैनन्  रब सर ।हजुर को दिमाग् लाइ अनी हजुर जस्तो Talant मान्छे  । sayead aaru khoi xaina होला 😐️😐️😐️😐️😐️😐️
41,Dammii speech rabi sr
42,Ravi bhai really we are so lake hajur jasto mahan chora hamro desko god bless you dear bhai 😍😍😍🙏🙏👍👍
43,ma india ma chuu malai ravi sir sanga mero samsya bhannu thiyo maile kasari ravi sir sanga contact garne kripaya kasai lai tha ha xa bhane bhandinu hola
44,सुरुमा कति राम्रो भ्ननुछ ....
45,यक दम जायच कुराहो  रबिसर  धन्नेबाद हजुरलाई  रबि सर
46,Salam sir
47,Namaskar Ravi sir ma Saudi bata herdai xu
48,Sahi vannu vo ravi sir
49,Ravi sir ko Kura kina yati ghat lagdo hun6a wah wah kya weight bhayeko kura haru !
