,0
0,"घुस खाने र घुस दिने दुबै अपराधी हुन , त्यसैले यो कलेज संञ्चालकलाई नि कार्बाही हुनु पर्छ।। अनि ती बिद्यार्थीलाई निलम्बित मात्रै होइन  कडा भन्दा कडा सजाय दिनु पर्छ। अनि संचालकले तोकेभन्दा बढी रकम किन लियो त , ,कलेज नै बन्द गर्नु पर्छ ctevt को नै बेइज्जत गर्ने काम भयो नि त कलेजबाट"
1,मेरो लाग्छ सुबेन्र्द खनाल भन्दा राम्रो रमेश खरेल नै प्रहरी प्रमुख भाको भए ठिक हुनेथियो।
2,https://m.facebook.com/story.php?story_fbid=2212482852306848&id=100006354643532 yo video pani hernu hola sathi haru ani yo event ma tapai haru clear hunuhunxa
3,Randodan hu
4,Aatola ta aama pune  dacxni posakolag
5,Thukka sala Bidyarthi Netaharu....
6,Nice programme...
7,Nirdos lai yasto garna paudainas Nepal polis
8,Rabi dai lae nata bannu parxa
9,Salaam xa Rabi sir
10,Good ma pani ctevt ka khi manchyalai lai yasari nai rabi dai ko news ma gayara bhanini koses ma thiya
11,Ravi is god of nepal
12,Byebvv
13,"Ravi srrnirmala pants case ma kanchanpur prahari , cib,sarbendra khanal ,nilambit prahari ,bom dede baini , rakshya matri ,ghriha mantri,esthaniya ,nirmala  pidit sabbai Lai ekai than rakherw mega show grnw mildainw tai pani live"
14,One of the legend  reporters
15,yo des yastai chor le garda bigreko ho
16,नाङ्गो नाच चल्यो देश त डुबिनेइ सक्यो अब को आश रबि सर लाई देश को pm बनाउनेइ पर्छ तर यस्मा समस्त होल टिम लागेर अनि भने उदाउँदो दिन आउने थियो होला
17,Plz Rabi sir nirmala ko naya ko lagi Khi garnus plz Plz Plz😞😞😞
18,Australia ko lagi gayako Ambassador Lucky Sherpa ko k hudai chha.
19,"Ravi jee   auta programm garnu paro chitwan mahaswob ko barayama , kena ke mahashob ko stall commssino ma sells garyako chan. real nepali producton lay stall paudai na. chines ra indian saman sells garni lay matrai stall pani rai cha."
20,Sala choor haru. Balak lai torture deyera balatkari bhannu lagayeko .
21,घुस नखाने त कुनै निकाय नै छैन नेपालमा
22,याे देश भनेकाे लाज नभएका फटाहाहरूकाे देश हाे रवी जी
23,भारतका अन्धश्रद्धाउन्मूलनका संस्थापक श्याममानवजीलाई राम ब बम्जनबारे छानविन गर्न अनुरोध गरौ।
24,"Sir sarkar le hami janta lai koile bidesi jastai niji gadi ma churnu afsar dinxa hola ,2,3,lakh ko gadi 25,30 lakh purxa k godi bebasai guru hl mlysia"
25,हरामी साला जेलहाल्नुप्रछ
26,Owa Rabi sir salute cha mero tarfa bata long live Rabi sir
27,"जहाँ आन्दोलन भए पनि कमिसन को लागि आन्दोलन हुदो रहेछ ।स्कुल,उधोग, हस्पिटल मेडिकल कलेज जहाँ आन्दोलन हुन्छ त्यहा राजनीति पार्टी का नेताहरुको कमाइ खाने भाडो हुदो रहेछ।"
28,police vannuni abata ghus khoure vanera matra chinna thaliyo ejyat 0 nai pugisakyo
29,JayDesh JayRavi sir
30,"I AM PROUD OF NEWS 24 TEAM✊✊
GREAT WORK👍️👍️"
31,सला बिध्यर्थी नेता  चोर  पुलिश
32,What's the  phone number of this office?
33,देस मा रबि सर हुनु पर्छ प्रधानमन्त्री अबा
34,Ramesh kharel is better then sarbendra khanal. Vannekuro pusti vayo
35,#nepalpolice bhaneko garib lai lute lai lata lai nirdho lai matra samauna sakne dhad fuskine garera hanna sakne 1 cup chiya ma bhikne bhikari dalali gunda chor fatah ko sangathan ho Nepal police kharej garera ghar ghar ma basnu bhanda huncha thukka randi ko ban sabai nepali policec haru tero aakha ko agadi euta khate chor haru milera arko lai hani rako cha ultai chuttayera bhagauchas sabai police marija madarchut haram khor Nepal ko virouse haru sarbendra khanal pani thukka khate euta jhuse neta sangga daraune sanggathan ko malik
36,kassam ma chai yo desh ko mantra bhako bhaye yo bidharthi neta haru lai janma kaid haldinthe bich sadak ma chirdai nun khorsani haldinthe kasta harami kutta haru raicha sala thukka tero ghar pariwar le kasari khana khadai holan
37,"ctevt मात्रै नभै प्राय  प्राबिधिक शिक्षालय सबैमा यस्तै हुन्छ राजनितिक आढमा पैसा असुली हुन्छ....
तर सबै तेस्तो नि हुनुहुदैन ✊✊✊"
38,"Sarbendra khanal lai,,,  hai hai bhaniyo... yo ta.. last kharab po rahexa.."
39,"salam rabi sir, yo ctevt ko evidence ali dhila aayo dherai agadi nai aunu parne ho, j hos auna thalyo aba yaslai nirantarta rakhnu vayo vane ekdam ramro hunxa"
40,Great job Ravi sir
41,Rabi Lamichane the GREAT.
42,"सुन्दर देश नेपाल्  को चोर नेता हाहा नाङ्गै हिडे भो हौ कै पैसा नै चाइए साउदी,कतार दुबई गए भो त हौ, विद्यार्थी नेता भनाउदा सबै भन्दा त राजनीति नै हो त? भाते चोर नेता मर्दा जलाउदा नजलिएला, गाडे माटो ले नि नपचाउला है चोर चोर नेता हो"
43,aasti rabi sir laii 20 choti ph garda rcv garnu bhayana.....nikaiii jaruriii kam thiya kaha gayarw bhanu mh
44,रबि sir  राम बहादुर बमजनको बलात्कार र आनिहरु हराएको विषय म पनि तपाईंले report  प्रसारण गर्नु पर्यो । please ।
45,✋✋✋✋
46,ani yo bob di bahine randili chai kina kai gardain public parsanle  khate chor public tero goda haruli yestho yata kina didains khate xi nij ra gatiya mero nepal ko   public haru thukaa kuur patagi haru
47,ye sabai chor nai hun
48,रबि सरलाई सलाम गर्ने जति यता हाजिर😍🙏
49,Dhikar x mero des nepal ma basna ni thhukka hamra des ka thula  bada manxe haru
